masked_acct,MoodysUVIDiffCOFromOrig,VehicleValueBlackBook,FinancedAmt,PaymentAmt,TotalDownPmt,ChargeOffMOB,FICOScore,true_recovery_rate
00ed69bb4433eadc70e8ec9a9a62000a,-4.14,12500,18228.1406,417.57,1900,10,489,0.5847
00eddd51d95c5128c25b1b84408a5017,-4.45,11300,15524,341.03,1000,28,509,0.5184
00ef6f0d2824f7fb707a431af9a4b403,-4.86,15975,20872,446.96,1500,5,612,0.7391
00f024bf27176bb37a875c7025e8f83b,-6.23,9750,13301.21,341.27,1500,11,518,0.597
00f9b2ebe7c3bb8aaf188071110550b0,-7.38,7200,11327.5801,278.28,850,22,,0.5883
010352566ed579282350385eb7ad239f,-5.93,9650,14252.5898,315.08,1000,34,,0.6319
0116815d709fdb14f5d1734eb7017e27,-7.45,15575,29231.9902,697.28,-2992.7,15,,0.504
012199f42a68485ff01fbf5eaeb3ae48,-3.42,12225,15222.75,399.61,4950,5,497,0.6707
01247fa802e996483c53fc28f221f8f8,-10.52,15250,21567.8105,480.12,2010,37,544,0.5812
01268a7cd76ea3c212e14e9877ab08a8,-7.26,10350,13965.6699,320.91,1476,14,473,0.6372
01309fca85f2dc750d1f130d35875d9a,-5.36,6175,7723.9102,228.88,700,7,540,0.3739
0131f70f44f6f9c91b34651b6cb4ee98,-2.95,7200,11514.2002,336.27,1100,4,460,0.607
0133e8c0677d4f6c2fd3c5936650315e,-7.11,6600,8638.7002,256.14,1250,11,476,0.507
0137e88b2f61e84fc87e276708c09569,-4.93,11000,12819.1201,313.29,2000,10,,0.567
013892e05d087537e62bd55c4f2e0901,-10.83,19800,22099.5996,545.25,3087,22,667,0.6365
0142440827789ff78566706d3b66e8c9,-1.83,12375,18851.4004,489.38,1600,5,519,0.6311
0142c117367523735038ffd68da63b33,-13.27,5300,10362.3203,295.1,1500,26,,0.4118
01492cdf85ecd60757bcfee9934929c9,-4.17,13050,20263.5996,483.36,1725,6,,0.033
014fbdb69de5731cefd80d7102461024,-10.77,6600,9859,254.99,2000,19,520,0.5731
0154b64ba02f6c3febca7794143e3365,-3.85,17325,26887,598.33,1200,11,,0.622
0154f76799e8ad7c12d676704c205e2c,-2.74,11525,14586.75,351.56,2500,27,535,0.5317
0155fe0131fde8bb4990552ffad30fa5,-0.81,15500,19617.3008,408.2,2000,15,532,0.5529
015621de0174d4cf22bde59238c5804d,-2.96,12350,15958.0703,355.48,1787.16,18,,0.6161
0156a001b6e51a83b18e822bef76b1e0,-1.29,11350,15929.54,368.13,2500,14,,0.6908
015997ffb1434edf68c39c27c46564fb,-2.8,16350,22004.8008,518.59,1000,16,507,0.4509
015cda35336e838691f8baf0cc1703b3,-7.06,8600,13412.2402,325.83,2000,12,,0.4479
0185591fa765b6a41e13353f91420f68,-7.4,9925,15251.0195,415.42,1300,29,466,0.3937
0186b0d2748db94a3baf1b2414cf9121,-6.88,9025,13048.1201,315.16,1500,30,514,0.2902
018700437d5ac51655c834176d369a71,-10.52,10025,14328.6504,383.76,1350,37,568,0.3395
018a6cfc379d13838c76c43a38d6cc57,1.16,11150,16184,400.52,1500,7,476,0.7405
018b5688e8bae39e51c8423b94d4412a,1.89,15325,20873.7402,544.58,5000,8,568,0
018cd57c11844b92573048b33f634ac3,-11.31,8800,12599,306.11,1500,28,555,0.4352
018f9d88d66292fa20cf10e77bfcd3cf,-7.33,9475,15210.6904,391.16,3500,22,,0.463
01939c051424074d1f46e45cb54c5e36,-11.03,13050,17825.8809,376.78,1500,26,,0.6141
0197c03197f1f499c9ef21c5fb022241,-0.39,16450,30877.7305,799.87,-5050,3,561,0.5108
019d7acbe52d50ef8fe1426143f617be,-2.7,8250,13343,399.5,1300,9,541,0
01a60dd86c6ce913f15b611eb6c97d62,-2.09,10250,15338.8496,349.85,1150,15,477,0.0322
01a619a19fb2ffcbccf3dea6e833bfec,-0.73,10100,14371.9297,425.96,2000,9,453,0.6661
01a70cfc397af048594a20c297ce884b,-3.78,10600,16698,404.82,2500,8,,0.6037
01a73be5f9b7ead8425602326d96aa64,-4.42,10275,15672.9805,414.93,1500,25,520,0.3462
01a9d234ebfb4e37fc375a84ed1f908f,-9.14,8775,13636.9902,312.15,1000,34,,0.3809
01ac9da5b8da10841a35c5327942dcba,-6.91,10900,16649.9199,429.77,1221,17,566,0.4528
01ad70ef0befafd874068aac8d5a5457,-10.51,8400,13501,307.23,1000,29,,0.3825
01ae8751715f021e620a5615a1f1c8df,-8.45,9375,13615.75,343.64,4000,22,,0.3064
01b3d9c090cb5927e71eabc4f5088471,-8.78,12925,19567.0195,427.15,1000,41,,0.2428
01b82662cc286b818c3d58d5e8d58473,-5.43,12250,18813,459.93,1900,18,545,0.174
01c4f7359ee5248c6654591258710c58,-6.94,8100,11214,300.87,1300,20,606,0.5365
01cc3888c03a1dc2bf8f9ae7f7d4049c,-7.49,8325,12522.5596,316.75,1885.18,24,,0.3523
01cd35f37655f30c108f6a579c43ee58,-2.86,7800,7000.6099,168.51,7000,23,456,0.4215
01cd501ff115e458c31212e80470976f,-7.91,7600,11113.9297,292.77,2500,42,589,0
01cea436984ee3c0be17877272deb8ab,-8.77,10175,13384,352.24,1460,16,562,0.047
01da69a45347cb591078ec71a8918daa,-3.85,14100,19024.5,562.66,1500,11,442,0.4872
01daab86208a529261545a8f8b6a514e,-7.41,12475,22996.7109,505.41,1000,24,470,0.235
01dd3fbae0e2702ffa6708775529a440,-5.25,11675,15300,394.72,1090,19,540,0.4829
01dea72ef916beaad190060a0655d78f,-5.13,13450,22373.2695,535.77,3600,22,559,0.3709
01e25efa3b891505179b12226558cc1e,-3.07,8900,18366.2402,421.99,1000,5,,0.5543
01e46a92b93cbec19312182bc7b184b8,-9.3,11400,19861.75,456.44,1307,38,528,0.2229
01e9d25c9e33cc1c4da77268c0e8bdca,-3.99,13075,17405.25,405.01,2000,16,,0.6155
01ea9d23ea1df3f6066a49060fbf5b8e,-0.79,12150,18438.5703,454.75,4000,8,544,0.2963
01eb2078b54cfb141c84121ecc187090,-2.13,13175,17784.9805,400.99,2100,7,,0.7346
01f127bcaeba5d8eef7428b3b247f379,-12.6,8275,12479,297.84,975,24,571,0.2145
01f967979be0389a0ec2b5982d229a7f,0.15,14650,20438.4395,450.76,2500,17,,0.5847
01fde19a83c0888d7558633aed35406c,-8.52,15775,20280.7793,442.72,2000,25,504,0
02175a23620789f9b84dbdb9bfc5dc58,-2.99,9075,15697.5,378.51,2500,8,521,0.6282
02246bcaa8edb40d139420b2f0527911,-1.37,20950,30940,774.89,-1987.35,6,547,0.7095
022746d6d48a66882b5b3a8fc9c4dddb,-6.46,14250,23976.1602,505.75,1000,36,559,0.4387
022a0e72587bb83ef11b580be34bb979,-8.02,16550,20777.5195,483.59,3000,27,536,0.4513
022c363430f1e3f3c2c4856001731d9f,-10.54,11200,14828.5,376.99,1000,38,524,0
02311ac0fc1205f913d4fa1d6b158e96,0.83,7850,11532.1602,339.27,2000,6,579,0.6494
0231cda59ebebed70175274a43efaf12,0.95,16675,21042.4707,559.06,7000,4,487,0.7831
0233ca6d4f05089b9c278a8edab41da5,0.65,9500,12920.5,336.94,3000,7,,0.4807
023428a06d6786e1751b575b67f261dc,-0.86,10325,15701.7002,374.64,635,15,,0.5428
023d959bfac5a6e71fe8c1702dc18950,-6.08,13775,17460.5801,426.8,1000,17,,0.4903
023e7c23dc240399ca794e4fdc314566,-6.93,11325,20753.7891,461.5,1061,15,490,0.5809
02420220f89caa286a6be1cc1eac83ff,-0.66,8225,9877.5098,285.53,1000,15,,0.0721
024e0a42c5d99160027507eeafa319aa,-8.23,13275,15326.4404,347.72,1500,34,,0.7339
024f0c3fd9717dc9d83b0d8b3469831d,-7.17,9725,12549,324.88,1400,21,,0
025aafe1292a74593c4f4ed6aa86aea3,-1.88,14825,21793.8301,485,2500,5,506,0.5672
025c9fdd0f6196e546f9672bc209a6e3,-3.69,9600,17041.6406,432.12,3000,17,555,0.6264
025de82a175f3b45cd219265fe443929,-11.38,12750,20257,450.69,1000,35,558,0.2469
025e4969c10224f671afd293db4ddd97,0.22,15375,23409.9902,609.23,3000,4,575,0.9453
02612b1b0296a7fce08ffc6064c1d63b,-10.21,10450,17540.0098,403,1275,17,,0.0609
0265b4dc233a2f399845863d2988b554,-6.16,14450,18545.9805,423.44,1500,19,607,0.4013
026e1089b9b931c045398991cf3338ea,-4.89,7300,11454,262.18,1000,11,537,0.0526
02727a436e03c0395fb3b7ad77ec7b6f,-3.3,8700,14928.0596,379.75,1000,14,585,0.0345
027caca97f5233fb61b3a786c22b67d5,-1.71,10675,14830.3203,355.82,2000,4,515,0.7398
02839bba486f09687ea05b85265a4694,-4.59,9675,15959.75,365.64,2500,10,539,0.1516
0285f1d0d4748f816fd5f06ce9e1498c,-7.65,10850,18177.25,417.44,1425,20,498,0.4043
028a830e66f2da43d239f5180b5779d2,-3.73,9500,13831,315.34,1800,19,510,0.5804
029230e95dc1291f94ff6ab085222744,-4.03,10200,13379.6602,352.56,2001,19,586,0.4634
02a7361316a92a0f8e35912820e0050e,-8.05,7875,12235.1504,349.98,3000,27,507,0.4055
02aab5f195530733737064f03bbd8194,-8.74,12475,16286.7803,362.33,1600,36,543,0.6511
02acd1d1f2a6aa2c10b7e929b04e8f2d,-7.49,8075,11354,314.8,2000,24,473,0.4061
02b1235df63e6a61f9dbd6248838da73,-4.74,7525,9982.6396,279.41,1850,17,502,0.1054
02c0bd5f04807337bf710920a8cce63a,-7.45,12450,17261,448.48,1000,15,582,0.6896
02cf7b545bd0b52ed473d054255ff62f,-7.55,20850,26512.3301,578.76,5000,26,463,0.0079
02d7a5ff5984791b4189716ea50c5c7f,-1.03,11000,15149.9902,349.75,2800,13,573,0.0983
02d8abc759662770d74587d5ae849979,-4.18,7150,10501,287.59,2454.14,29,570,0.1967
02de2747391fbd838e54085802fc2b4b,-4.96,14775,18985.2695,539.97,4100,9,,0.108
02e906950d09e0b92e353740176b5ecd,-5.59,21125,25953.6094,548.57,5000,8,511,0.5995
02ec85e820e89c4622e507c32c213188,-1.54,9475,13992.2803,393.32,2250,20,557,0.4514
02eec1a27d86391e0cf72d97c094548f,0.24,14000,20352.2402,464.19,1000,4,,0.6673
02f36294acf5901b4f97cdb99f0900b3,-4.78,8175,11863.0195,300,1400,27,,0.1843
02f9a90b9f17219d52f32bdb941b6c5a,-6.08,11350,16934,374.54,1970.87,9,,0.5692
03077c50a1d04c2d52bdfb71c8838d70,-7.53,9500,11011.54,269.11,2000,21,502,0.486
030da0f1b5d22780239ec59c4d32d866,-0.95,9075,12268.4199,313.87,1550,10,525,0.5658
030fd4c2f1a9b4615bcc044273b10a0f,2.8,18475,21550.4492,473.62,2000,7,,0.8529
0313253477360cdbd64de5532ef2c3e1,-9.86,9825,12198.21,367.3,3400,18,,0.3785
031571f17cbf20c869421f02796db41f,-4.25,15450,18358.1602,454.15,5000,9,445,0.6842
031dbe413bb3311fe5f8296159c4fd10,-3.67,12075,17965,450.01,2100,6,574,0.3999
032403f961a38d5ad847c51edc660e32,-9.3,7950,11451.9502,289.8,3000,38,,0.0184
032bd4e1f96f32eb0e71da840b8cec34,-5.62,7750,11815,311.13,3755,24,,0.2138
032e5263f8b5e84dab4d00f8862a7b2c,-0.5,10525,13389.6396,318.05,2500,8,488,0.5316
03316cb3bf2d1c09f69406780011b4fc,-8.41,15050,25441,583.87,-5351.84,20,468,0.4483
033b6b3d1566583e2a826ccd92266e22,-7.58,17700,22990.7207,528.24,1000,43,549,0.3164
033e0faae4592e9348fe3f63a7f85034,-2.6,19125,20330.3398,408.01,6000,11,,0.7661
033f42a1fb10a0e4e717d6a30f078a90,-9.52,16825,24769.1797,598.55,3000,32,,0.5553
03434a330844df5611a8339e13fb2bd6,-0.97,7100,9840,249.83,2498,14,,0.5132
034373adacfe936b8df2b982695654fc,-10.54,11400,16334,372.93,4000,38,550,0.1609
03442e06e291045eb73b9df064bd6c6f,-1.05,11950,20556.6406,472.31,2000,4,455,0.7167
0347bf8b4c91521e52277fbefd805f5a,-9.03,11575,15830.5,377.74,676,18,607,0.3982
0348ba66a1e1e1e72f93cd4384ef7693,-4.48,13825,19601.6797,449.85,1820,6,492,0.6735
0352c4df8caf8021f06b70cbeb0b2052,-1.81,8800,12872,373.93,940,14,,0.0636
035aa6bf58e4ec5e182e0501add76b5d,-7.45,12275,14618.1797,350.45,2500,22,419,0.6152
035b908572dbffebe4d6b43e054819aa,-4.7,13500,18335.8301,451.06,2187,24,468,0.5616
035ec561997a151d1a237c656e4854c8,-1.54,9750,14113.3496,342.74,2500,20,551,0.4264
035fa12334d1f126840221ff05f7d232,-8.58,15825,23753,558.11,1000,42,529,0.1932
0363e8d4b864227fe22bdaccfa851186,-0.81,17025,25727.3301,614.07,1000,12,500,0.5582
036b2458d1f3aa19b3b4717a351d9fab,-10.08,16675,22678.3906,497.97,5000,19,,0.3647
0372ec8303a29445c0b80e90a10e95e6,-1.37,7750,10577,313.63,2182,6,,0.2004
0376a7565b7de0dbdec5ce06c2ca1400,-1.32,14100,19431.3203,467.13,2000,9,602,0.5847
0376f19fc8e3e87529d0c4b0bd5d317c,-6.81,11825,17442.1191,388.28,750,23,580,0.3896
0378000813af02593b1f24eb5534f658,-9.96,10050,16454.9492,365.29,1000,36,531,0
0383dcc362681f86b99cfc502ebd886e,-0.79,10075,15050.7002,382.01,3000,8,,0.1601
03865547948cd989c4b672f6f83a15e4,-9.3,16625,24219.0508,573.3,1000,38,,0.3797
03870c06cb7b908da40af263727643b8,-1.35,5650,11700,314.87,1100,6,,0.0899
039f19b91e7dd6c65256451ed43d99e9,-6.97,9800,13434.8799,315.03,1280,30,,0.6814
039f93a6c462dfe98b981b921647c9e7,-9.56,17875,25693.6504,536.05,1500,21,,0.441
03a0a3bdcd10ac7083c63c3fbaf99345,-9.36,8075,11598,315.8,3000,17,,0.3353
03a0afcc55323d5f3d31c09bb6d7ed14,-9.16,9850,12172.54,291.57,2000,19,587,0.2867
03a891aa3cadc49eef6d57b728ab8e05,1.22,11725,13499.9502,311.88,8000,11,457,0.085
03a8efe3128f886e61b5582f0e115e2c,-0.49,11900,13695.9697,283.84,3500,14,,0.2088
03afb6aa090445c86b5be7aa3d92e297,-9.66,6900,10314.9902,290.78,1500,23,580,0.0763
03b46f82ff142302626f08cfd1e82010,-8.39,4425,10388,311,2500,36,,0.0755
03bc2682af3de25aa088f0038aadf6f3,-3.5,12625,15804.0996,424.29,1500,8,,0.6342
03c2aaf1e68a87a17ef430750295c3b2,-3.37,17225,26136.3008,646.81,2850,21,466,0.0604
03cb8c52cb40d2980fbff997a967f163,-0.79,11425,16246.5801,431.94,1000,8,,0.4572
03cfee9c41ff73281713cd228cbf946a,-8.78,12125,16887.0605,356.97,3000,28,511,0.5379
03d9436a4642b97b3c4b20882cd78c70,-1.22,6450,10769,278.82,1300,7,,0.3075
03e2d2477edb929f060142ed99226eb1,-10.47,11200,16521.7793,379.61,1700,34,,0.3255
03e5ec07913c5e5f6807509c9f93dc87,-6.68,11650,13787.5,332.98,2000,32,449,0.1998
03e9366ff93ad88c4559f00be5c5205d,-6.77,11950,16294.0498,408.15,1609,31,546,0.518
03ec2efb1274c90987b84ac67abb7d2a,-0.58,13775,17436.4492,384.83,1500,9,,0.515
03f700154b2b3ce6fbe38e6c3922ca60,-11.8,14800,21594,554.03,5409,32,,0.4929
03f783b888e8281ebadc80d49c0f9132,1.8,11600,16622.5391,431.11,3000,7,490,0.1209
03faa5615f05c063d199a049ad29e934,-9.36,11000,13784,293.15,1500,17,,0.5559
03fb20d8f1876c8bfa0875a24a85c029,-2.13,6225,11265.29,326.06,4000,7,457,0.6661
03fb434aaf6e3e138bc0d62821d51b0f,-8.52,23275,37380,815.88,-968.57,25,,0.5273
03fcd2a8c9d014be44564c42166dd36f,-6.45,18850,20536.5,514.4,3500,12,494,0.5065
03fcd39b1bf89092af2c1a12d1c7adb1,-8.55,16000,22089,513.94,2000,19,541,0.5332
03fde59b04bcbe84f87e9cb9b131dc6d,0.83,9050,13246,361.3,2500,6,518,0.6239
040cbbb77284ba9c8111c7b4db1f8637,-5.66,9500,16496,412.97,1500,19,501,0.4069
040d8168a924d8358fe8d2f1f44aa733,-5.18,9550,11602,300.37,1500,7,455,0.6941
040f2e72ee15274b398dd92c997335f7,-2.7,7875,10888.0498,269.12,1200,9,,0
0414af9605f3bd19068d1da91f052610,-8.42,10575,15244.5498,349.68,1500,40,,0.1516
0419f1f327e824bc73261c0e88ef24b5,-8.04,13800,18196.4609,446.47,2000,19,493,0.4778
041a5ac914226e6024d5ccab17fd9067,-7.41,12550,17125.0996,428.39,1500,24,,0.0483
0420d2bda6505607a32b1be6f44f8af2,-4.22,13000,21783.2305,484.87,900,17,,0.5535
0422ae308be3784bc0201a09ccc2484b,-5.39,10350,15748.8203,407.77,2000,25,477,0.0144
042b8ca7bde6ed16fa94dd7aa4794d19,-9.16,10200,14207.4004,373.31,3000,19,507,0.0153
042c449faf92749b1cec1dabfe7fcfbb,-0.66,7725,9277.5,258.58,1650,20,475,0.3042
0438d542a2878fc94fb06765a4bb8d7d,-3.76,18525,27603.1406,587.26,3000,9,532,0.6808
043a098831ddc5d4aad14e168940bbf0,-4.03,10850,18102.4004,412.88,1000,8,517,0.5719
043ec7f12421e48960f4421e1717e815,-6.28,12950,19462.0391,422.2,3000,32,,0.514
04586708390af664493be1092351a9f0,-7.25,15700,19709,450.04,2000,22,557,0.3718
045ac1168a8c1d9f12ae70e137fdb378,-5.6,5675,8091.3301,205.87,1000,13,629,0.0637
046636647571b8cac8f1283b8602cfc1,-7.99,10175,14424,382.47,1000,15,579,0.4074
046f69b633055b64e9ec31961da417dd,-4.59,10175,13047,348.14,1500,6,444,0.6381
04710aa331a80fe0ea257fa1a6994913,-6.01,10500,19308.2402,471.96,1500,14,546,0.5856
04753ec7fced1a43f8ab2cc9b4912477,-3.4,8825,12448,340.27,3000,10,580,0
0477258dae10eb0f31b358ac6b0a3d2f,-3.45,12775,18191,438.39,1800,10,,0.2931
0478ee24a067e966f5f4068e30649bfe,-4.48,10350,19298.5293,426.83,2500,7,508,0.5289
047b920bb1a1ea9228112675a85ec980,-6.96,12600,16653,408.75,1500,10,506,0.6052
047e1823c021e85a6924883c8e64f029,-9.25,12850,23833.3008,523.74,1000,34,547,0.386
047ece743016a781d3e5d830ead957a4,0.86,10975,14827.5303,368.12,3000,8,,0.6354
047f32558a73839bd1fb29299d115f46,-6.71,12650,23700.3105,527.54,1426.32,13,501,0.5484
04800d359ba49b3e393867034eb5cd9b,-5.36,15500,20098,491.35,2100,7,517,0.5658
0490b2405107b8e7928951bf2f545e07,-6.55,13200,18219.3398,452.39,3000,24,,0.0675
0492c4ee307f8650ffd4ffd38775b4d9,-10.36,10775,13757,348.13,1400,33,,0.3099
0494393a2de6e2093304807499dfcee6,-8.46,10950,17097.0508,387.89,1500,17,531,0.4736
0494727783f0fab6c068245665de6c4a,-5.76,12750,16851.8203,389.27,3000,11,,0.2272
04982b602a685665b56c14a0a388a4d1,-0.27,10850,15599,382.65,700,6,582,0.7713
049b09db2347a606b74444aab4662376,0.15,19375,30933.0391,802.62,-3701,17,524,0.0627
04a5588dfc0cb27842ea35fa9393f746,-1.97,9075,16297.9697,374.35,1155,18,,0.394
04ae0f459366d234792fcd8cd10e5f1f,0.65,7425,10241.7803,274.93,3000,7,520,0.4269
04ae676e2463c154c55e0ba4c87f9ed5,-11.67,19425,14728,346.55,9250,31,539,1
04b275ff76a687385eebe8a0c10999c5,-7.13,14050,22835.6992,505.05,1000,19,593,0.3719
04b5eb26b5c3d0609d2158dae6e196af,-2.07,7550,13043,334.79,1500,15,,0
04baa09731647cb3a205b8522cf5602e,-4.86,11125,17413.0098,424.69,2500,9,,0.448
04bdedb8cca7cf40aaa84e8d4f2122fd,-5.18,11175,12592.0801,289.32,5000,7,432,0.7217
04c25f23ad0e44578084e7809e769fc5,-4.03,16100,23987.4609,554.47,2500,8,508,0.5982
04c450ba4c32ca6f7e44796c1ccd7d2f,-6.16,14175,15748,447.65,3000,19,635,0.4161
04cb9111ace558be3312d6242ab9507d,-4.56,11700,17887.7891,410.99,1000,5,,0.587
04d3a69de21ee03b330ceb00d2296d7a,-1.92,10175,15462.8799,355.09,2700,7,,0.7329
04d9df5b14a0b8ff9d3c3af49cbc8796,-6.26,18400,19725.6504,459,9000,33,568,0.5696
04dbef1b78fbe71256c0d8c645f56da4,-2.86,10300,19970.4004,458.85,1800,23,545,0.3327
04e51485daa49e9f25901e5b3249b01a,-8.25,15275,20278,518.48,6500,36,,0.0376
04e5f4369e2c914f1a812502b6f32705,-8.39,19900,31240.2305,651.76,-3362.43,36,,0.6434
04e6bdb5ce21feb59e3e0ed181743df1,-3.4,5175,10126.5703,275.38,4023.86,9,,0.1736
04ea7e3ad6210d0d017bfec8007f6ed9,-3.73,16875,22448.9297,511.35,7000,19,,0.4963
04ee979dbebd429c4c8332279431b772,-1.2,11175,19183.3008,469.04,2000,6,531,0.0872
04fbdd2771ae7914d6f47f3c8e7adbc1,-3.67,7675,11561.25,250.81,5000,6,491,0.5599
05043629983c60886ee362e34d9b2858,-9.63,9850,14609.6201,378.23,-847.88,37,,0.5292
05043e04b4e597154f58fad958b6d844,-12.47,10875,16906,395.86,1500,26,,0.2932
0508941fc3841cf6fa73c4db04aea561,-7.65,8750,10619.9102,286.62,3300,20,584,0.0464
050ec1ced4069c81db0c8619ddb82be1,0.79,8975,13379,390.08,3000,9,479,0.7714
05131ca608a7e06cace686464bcb10df,-3.28,11650,17762.2598,478.47,1699,18,551,0.5303
05198fa069a1434d73b05c5e17db2cac,-8.67,8975,13017.9102,340.92,2000,20,493,0.4916
051fdafde9908e678e69a136bf6dbcf1,-7.41,12450,21366.4102,499.47,5078,24,554,0.502
0520f941e8c3e06cea2258e827478c0a,-1.45,4325,7315.8701,233.73,800,16,,0.4396
052526d2336e6e87e20a4d1959d1b043,-3.57,14425,20196.3691,460.63,3000,6,598,0.7513
052651b355857855a6fef0a4bd99e64b,-8.37,15375,23336.4707,536.25,1500,42,555,0.3207
052c05c5469593ce7f99331da07a2336,-9.63,13550,21060.5195,462.81,1000,24,,0.4983
052c784caf0b35b5cb7a5ccef5bb8008,-9.03,17550,20186.9707,436.92,3000,18,,0.7314
053030cef300b727f3e6a684979a36f9,-2.2,15350,25390.9492,508.86,1500,25,,0.5102
05308eab4e705c6b8732753600be4516,-7.62,11725,14982,382.33,3500,29,545,0.529
05378bed9d4d2969659418a1cc84f048,-2.07,5700,8592.6201,221.17,2500,15,556,0.396
053835d7b53b4252ef0a7f7cc9909539,-5.39,22850,24498,531.45,4000,15,547,0
